,馬名,年月日,競馬場,R,レース名,距離,天候馬場,馬番,人気,着順,タイム,差/事故,上3F,コーナー通過順,体重,騎手,負担重量,調教師,獲得賞金（円）
0,ヒトノワドリーム,19/10/25,川崎☆,11,ヨコスカネイビーバーガー記念 Ｂ３(三),1500,曇/不良,5,11,9/13,1:38.4,1.4,42.0,8-7-7,445,拜原靖,56.0,田邊陽,0
1,ヒトノワドリーム,19/6/5,大井☆,10,イヴニングスター賞 Ｂ３(二),1600,晴/良,7,14,12/14,1:47.2,5.1,44.6,3-4-8,447,吉井章,54.0,中道啓,0
2,ヒトノワドリーム,19/4/26,大井☆,10,プロキオン賞 Ｂ３(二),1800,曇/稍重,5,15,16/16,2:00.6,3.9,44.6,1-1-1,446,吉井章,54.0,中道啓,0
3,ヒトノワドリーム,19/4/11,大井☆,12,北極星賞 Ｂ３(一),1600,曇/重,12,15,14/16,1:46.1,3.3,43.5,10-9-11,440,吉井章,54.0,中道啓,0
4,ヒトノワドリーム,19/3/22,大井,12,爽春賞 Ｂ３(一),1800,曇/良,6,6,12/13,1:59.5,1.7,39.9,11-11-11,438,御神訓,56.0,中道啓,0
5,ヒトノワドリーム,19/2/16,京都,4,障害４歳,2910/芝,曇/良,9,7,9/14,3:26.2,9.1,-,8-8-8,434,山本康,60.0,土田稔,0
6,ヒトノワドリーム,19/1/27,中京,5,障害４歳,3000/芝,晴/良,11,5,5/14,3:20.2,2.4,-,6-7-7,438,山本康,60.0,土田稔,"780,000"
7,ヒトノワドリーム,18/12/9,中京,4,障害３歳,3000/芝,晴/良,1,10,8/14,3:21.8,1.5,-,7-8-8,434,山本康,60.0,土田稔,0
8,ヒトノワドリーム,18/8/11,札幌,9,３歳上,1700,小雨/不良,7,8,14/14,1:46.4,2.5,40.6,3-3-7,434,横山和,57.0,土田稔,0
9,ヒトノワドリーム,18/7/15,函館,8,３歳上,1700,曇/稍重,6,7,6/10,1:47.4,0.8,38.7,5-5-4,434,横山武,55.0,土田稔,0
